id,date,department,municipality,rain,lat,lng
1,2023-01-01,Bella Vista,Bella Vista,40,-28.5083,-59.0436
2,2023-01-01,Berón de Astrada,Berón de Astrada,15,-27.3056,-57.5344
3,2023-01-01,Capital,Capital (Corrientes),8.3,-27.4692,-58.8306
4,2023-01-01,Concepción,Concepción,10,-28.3917,-57.8867
5,2023-01-01,Curuzú Cuatiá,Curuzú Cuatiá,14.5,-29.7917,-58.0561
6,2023-01-01,Empedrado,Empedrado,5,-27.9014,-58.8058
7,2023-01-01,General Alvear,Alvear,44,-29.095,-56.5433
8,2023-01-01,General Paz,Caá Catí,9,-27.7511,-57.6208
9,2023-01-01,Goya,Goya,14,-29.1442,-59.2635
10,2023-01-01,Itatí,Itatí,13.4,-27.2678,-58.2458
11,2023-01-01,Ituzaingó,Ituzaingó,11,-27.5808,-56.6853
12,2023-01-01,Lavalle,Lavalle,11.2,-29.0233,-59.1833
13,2023-01-01,Mburucuyá,Mburucuyá,21,-28.0478,-58.2283
14,2023-01-01,Mercedes,Mercedes,5.6,-29.1842,-58.0753
15,2023-01-01,Monte Caseros,Mocoretá,11.2,-30.6183,-57.9708
16,2023-01-01,Monte Caseros,Monte Caseros,23,-30.2526,-57.6369
17,2023-01-01,Paso de los Libres,Paso de los Libres,27,-29.7122,-57.0869
18,2023-01-01,Saladas,Saladas,22.5,-28.2536,-58.6256
19,2023-01-01,San Cosme,San Cosme,5,-27.3711,-58.5117
20,2023-01-01,San Luis del Palmar,San Luis del Palmar,44,-27.5069,-58.5544
21,2023-01-01,San Martín,La Cruz,44.2,-29.1744,-56.6433
22,2023-01-01,San Miguel,San Miguel,24,-27.9861,-57.5894
23,2023-01-01,San Roque,San Roque,5.5,-28.5744,-58.7089
24,2023-01-01,Santo Tomé,Santo Tomé,11,-28.5492,-56.0428
25,2023-01-01,Sauce,Sauce,7,-30.0736,-58.7731
26,2023-01-02,Ituzaingó,Ituzaingó,0.65,-27.5808,-56.6853
27,2023-01-02,Santo Tomé,Santo Tomé,0.1,-28.5492,-56.0428
28,2023-01-03,Ituzaingó,Ituzaingó,0.15,-27.5808,-56.6853
29,2023-01-10,General Alvear,Alvear,0.2,-29.095,-56.5433
30,2023-01-10,San Martín,La Cruz,0.2,-29.1744,-56.6433
31,2023-01-11,Concepción,Concepción,6.4,-28.3917,-57.8867
32,2023-01-11,Curuzú Cuatiá,Curuzú Cuatiá,5.5,-29.7917,-58.0561
33,2023-01-11,General Alvear,Alvear,10,-29.095,-56.5433
34,2023-01-11,Lavalle,Lavalle,1.6,-29.0233,-59.1833
35,2023-01-11,Monte Caseros,Mocoretá,5,-30.6183,-57.9708
36,2023-01-11,San Martín,La Cruz,10,-29.1744,-56.6433
37,2023-01-11,San Roque,San Roque,16.8,-28.5744,-58.7089
38,2023-01-12,Bella Vista,Bella Vista,35,-28.5083,-59.0436
39,2023-01-12,Berón de Astrada,Berón de Astrada,27,-27.3056,-57.5344
40,2023-01-12,Capital,Capital (Corrientes),45,-27.4692,-58.8306
41,2023-01-12,Concepción,Concepción,60,-28.3917,-57.8867
42,2023-01-12,Curuzú Cuatiá,Curuzú Cuatiá,2.5,-29.7917,-58.0561
43,2023-01-12,Empedrado,Empedrado,20,-27.9014,-58.8058
44,2023-01-12,General Alvear,Alvear,3.4,-29.095,-56.5433
45,2023-01-12,General Paz,Caá Catí,52.6,-27.7511,-57.6208
46,2023-01-12,Itatí,Itatí,30.2,-27.2678,-58.2458
47,2023-01-12,Ituzaingó,Ituzaingó,52,-27.5808,-56.6853
48,2023-01-12,Lavalle,Lavalle,8,-29.0233,-59.1833
49,2023-01-12,Mburucuyá,Mburucuyá,55,-28.0478,-58.2283
50,2023-01-12,Mercedes,Mercedes,65,-29.1842,-58.0753
51,2023-01-12,Monte Caseros,Mocoretá,6,-30.6183,-57.9708
52,2023-01-12,Paso de los Libres,Paso de los Libres,2,-29.7122,-57.0869
53,2023-01-12,Saladas,Saladas,60,-28.2536,-58.6256
54,2023-01-12,San Cosme,San Cosme,33.6,-27.3711,-58.5117
55,2023-01-12,San Luis del Palmar,San Luis del Palmar,18.4,-27.5069,-58.5544
56,2023-01-12,San Martín,La Cruz,3.4,-29.1744,-56.6433
57,2023-01-12,San Miguel,San Miguel,27.8,-27.9861,-57.5894
58,2023-01-12,San Roque,San Roque,33.8,-28.5744,-58.7089
59,2023-01-12,Santo Tomé,Santo Tomé,15.5,-28.5492,-56.0428
60,2023-01-12,Sauce,Sauce,1.5,-30.0736,-58.7731
61,2023-01-13,Ituzaingó,Ituzaingó,2.9333333333333336,-27.5808,-56.6853
62,2023-01-13,San Luis del Palmar,San Luis del Palmar,0.2,-27.5069,-58.5544
63,2023-01-18,Empedrado,Empedrado,4.5,-27.9014,-58.8058
64,2023-01-19,Capital,Capital (Corrientes),1.4,-27.4692,-58.8306
65,2023-01-19,Concepción,Concepción,1.5,-28.3917,-57.8867
66,2023-01-19,Lavalle,Lavalle,3.2,-29.0233,-59.1833
67,2023-01-19,Mburucuyá,Mburucuyá,7.5,-28.0478,-58.2283
68,2023-01-19,San Cosme,San Cosme,1,-27.3711,-58.5117
69,2023-01-19,San Roque,San Roque,1.4,-28.5744,-58.7089
70,2023-01-19,Santo Tomé,Santo Tomé,2,-28.5492,-56.0428
71,2023-01-19,Sauce,Sauce,12,-30.0736,-58.7731
72,2023-01-20,Santo Tomé,Santo Tomé,0.6,-28.5492,-56.0428
73,2023-01-21,Bella Vista,Bella Vista,45,-28.5083,-59.0436
74,2023-01-21,Concepción,Concepción,8.6,-28.3917,-57.8867
75,2023-01-21,Curuzú Cuatiá,Curuzú Cuatiá,8.5,-29.7917,-58.0561
76,2023-01-21,Esquina,Esquina,34.333333333333336,-30.0139,-59.5267
77,2023-01-21,General Alvear,Alvear,9,-29.095,-56.5433
78,2023-01-21,Goya,Goya,25,-29.1442,-59.2635
79,2023-01-21,Ituzaingó,Ituzaingó,7.5,-27.5808,-56.6853
80,2023-01-21,Lavalle,Lavalle,36.6,-29.0233,-59.1833
81,2023-01-21,Mercedes,Mercedes,20,-29.1842,-58.0753
82,2023-01-21,San Martín,La Cruz,9,-29.1744,-56.6433
83,2023-01-21,San Roque,San Roque,14.3,-28.5744,-58.7089
84,2023-01-21,Santo Tomé,Santo Tomé,2.1,-28.5492,-56.0428
85,2023-01-21,Sauce,Sauce,9,-30.0736,-58.7731
86,2023-01-25,Capital,Capital (Corrientes),1,-27.4692,-58.8306
87,2023-01-25,Curuzú Cuatiá,Curuzú Cuatiá,50,-29.7917,-58.0561
88,2023-01-25,General Alvear,Alvear,4.4,-29.095,-56.5433
89,2023-01-25,Goya,Goya,11.2,-29.1442,-59.2635
90,2023-01-25,Lavalle,Lavalle,1.6,-29.0233,-59.1833
91,2023-01-25,Mercedes,Mercedes,16,-29.1842,-58.0753
92,2023-01-25,Monte Caseros,Mocoretá,1.8,-30.6183,-57.9708
93,2023-01-25,Monte Caseros,Monte Caseros,8,-30.2526,-57.6369
94,2023-01-25,Paso de los Libres,Paso de los Libres,16.5,-29.7122,-57.0869
95,2023-01-25,San Cosme,San Cosme,3,-27.3711,-58.5117
96,2023-01-25,San Luis del Palmar,San Luis del Palmar,25,-27.5069,-58.5544
97,2023-01-25,San Martín,La Cruz,4.4,-29.1744,-56.6433
98,2023-01-25,San Roque,San Roque,20,-28.5744,-58.7089
99,2023-01-25,Santo Tomé,Santo Tomé,5.9,-28.5492,-56.0428
100,2023-01-26,Berón de Astrada,Berón de Astrada,7,-27.3056,-57.5344
101,2023-01-26,Concepción,Concepción,5,-28.3917,-57.8867
102,2023-01-26,Curuzú Cuatiá,Curuzú Cuatiá,15,-29.7917,-58.0561
103,2023-01-26,General Alvear,Alvear,6,-29.095,-56.5433
104,2023-01-26,General Paz,Caá Catí,50.4,-27.7511,-57.6208
105,2023-01-26,Itatí,Itatí,4.8,-27.2678,-58.2458
106,2023-01-26,Ituzaingó,Ituzaingó,3.8,-27.5808,-56.6853
107,2023-01-26,Mburucuyá,Mburucuyá,7.5,-28.0478,-58.2283
108,2023-01-26,Mercedes,Mercedes,84,-29.1842,-58.0753
109,2023-01-26,Monte Caseros,Mocoretá,2.6,-30.6183,-57.9708
110,2023-01-26,Saladas,Saladas,3,-28.2536,-58.6256
111,2023-01-26,San Cosme,San Cosme,2.3,-27.3711,-58.5117
112,2023-01-26,San Luis del Palmar,San Luis del Palmar,10.6,-27.5069,-58.5544
113,2023-01-26,San Martín,La Cruz,6,-29.1744,-56.6433
114,2023-01-26,San Miguel,San Miguel,27.4,-27.9861,-57.5894
115,2023-01-26,San Roque,San Roque,6.4,-28.5744,-58.7089
116,2023-01-26,Santo Tomé,Santo Tomé,3.6,-28.5492,-56.0428
117,2023-01-27,General Alvear,Alvear,0.2,-29.095,-56.5433
118,2023-01-27,Itatí,Itatí,0.2,-27.2678,-58.2458
119,2023-01-27,San Martín,La Cruz,0.2,-29.1744,-56.6433
120,2023-01-27,Santo Tomé,Santo Tomé,0.4,-28.5492,-56.0428
121,2023-01-28,Monte Caseros,Mocoretá,6.6,-30.6183,-57.9708
122,2023-01-28,Santo Tomé,Santo Tomé,9.2,-28.5492,-56.0428
123,2023-01-30,Capital,Capital (Corrientes),10,-27.4692,-58.8306
124,2023-01-30,Itatí,Itatí,5,-27.2678,-58.2458
125,2023-01-30,San Luis del Palmar,San Luis del Palmar,7.6,-27.5069,-58.5544
126,2023-01-31,San Luis del Palmar,San Luis del Palmar,0.2,-27.5069,-58.5544
127,2023-02-02,Berón de Astrada,Berón de Astrada,2,-27.3056,-57.5344
128,2023-02-02,Curuzú Cuatiá,Curuzú Cuatiá,65,-29.7917,-58.0561
129,2023-02-02,General Alvear,Alvear,39.4,-29.095,-56.5433
130,2023-02-02,General Paz,Caá Catí,31.6,-27.7511,-57.6208
131,2023-02-02,Monte Caseros,Mocoretá,7.8,-30.6183,-57.9708
132,2023-02-02,Paso de los Libres,Paso de los Libres,27,-29.7122,-57.0869
133,2023-02-02,San Cosme,San Cosme,0.7,-27.3711,-58.5117
134,2023-02-02,San Martín,La Cruz,58.7,-29.1744,-56.6433
135,2023-02-02,San Miguel,San Miguel,3.4,-27.9861,-57.5894
136,2023-02-02,Santo Tomé,Santo Tomé,2.2,-28.5492,-56.0428
137,2023-02-02,Sauce,Sauce,3.5,-30.0736,-58.7731
138,2023-02-03,Bella Vista,Bella Vista,5.6,-28.5083,-59.0436
139,2023-02-08,Bella Vista,Bella Vista,3.8,-28.5083,-59.0436
140,2023-02-08,Concepción,Concepción,8,-28.3917,-57.8867
141,2023-02-08,Curuzú Cuatiá,Curuzú Cuatiá,17,-29.7917,-58.0561
142,2023-02-08,General Alvear,Alvear,5.8,-29.095,-56.5433
143,2023-02-08,General Paz,Caá Catí,1.2,-27.7511,-57.6208
144,2023-02-08,Goya,Goya,11.6,-29.1442,-59.2635
